Version,Description,Component,Files_Modified,Lines_Added,Lines_Removed,Patch_Type
2.6.19,[PATCH] ext4: fix printk format warnings,misc->compile,0,0,0,Maintenance
2.6.19,[PATCH] Documentation/filesystems/ext4.txt,misc->doc,0,0,0,Maintenance
2.6.19,[PATCH] ext4 whitespace cleanups,misc->code,0,0,0,Maintenance
2.6.19,[PATCH] ext4: errors behaviour fix,super,1,2,0,Bug
2.6.19,[PATCH] ext4: rename logic_sb_block,misc->code,0,0,0,Maintenance
2.6.19,[PATCH] ext4 64 bit divide fix,misc->compile,0,0,0,Maintenance
2.6.19,[PATCH] ext4 uninline ext4_get_group_no_and_offset(),misc->api,0,0,0,Maintenance
2.6.19,[PATCH] ext4: move block number hi bits,misc->code,0,0,0,Maintenance
2.6.19,[PATCH] ext4: allow larger descriptor size,"balloc,inode,super",5,31,11,Feature
2.6.19,[PATCH] ext4: removesector_t bits check,misc->code,0,0,0,Maintenance
2.6.19,[PATCH] ext4: blk_type from sector_t to unsigned long long,misc->api,0,0,0,Maintenance
2.6.19,[PATCH] ext4: 64bit metadata,"balloc,inode,resize,super",6,201,97,Feature
2.6.19,[PATCH] ext4: 48bit i_file_acl,xattr,2,14,2,Feature
2.6.19,[PATCH] ext4: clean up comments in ext4-extents patch,misc->code,0,0,0,Maintenance
2.6.19,[PATCH] ext4: uninitialised extent handling,extent,2,18,0,Feature
2.6.19,[PATCH] ext4: 48bit physical block number support in extents,extent,3,116,81,Feature
2.6.19,[PATCH] ext3: add extent map support,extent,12,2368,18,Feature
2.6.19,[PATCH] ext4: switch fsblk to sector_t,misc->code,0,0,0,Maintenance
2.6.19,[PATCH] ext4: enable building of ext4,misc->compile,0,0,0,Maintenance
2.6.19,[PATCH] ext4: rename ext4 symbols to avoid duplication of ext3 symbols,misc->code,0,0,0,Maintenance
2.6.19,[PATCH] ext4: initial copy of files from ext3,misc->code,0,0,0,Maintenance
2.6.20,"[PATCH] ext4: change uses of f_{dentry, vfsmnt} to use f_path",misc->api,0,0,0,Maintenance
2.6.20,[PATCH] ext4 calls journal_stop,misc->api,0,0,0,Maintenance
2.6.20,[PATCH] ext4: Eliminate inline functions,misc->api,0,0,0,Maintenance
2.6.20,[PATCH] ext4: kmalloc to kzalloc,misc->api,0,0,0,Maintenance
2.6.20,[PATCH] ext4: if expression format,misc->code,0,0,0,Maintenance
2.6.20,[PATCH] ext4: fix credit calculation in ext4_ext_calc_credits_for_insert,extent,1,4,3,Bug
2.6.20,[PATCH] ext3/4: don't do orphan processing on readonly devices,super,1,6,0,Bug
2.6.20,[PATCH] ext4 balloc: fix _with_rsv freeze,balloc,1,1,1,Bug
2.6.20,[PATCH] ext4 balloc: use io_error label,misc->code,0,0,0,Maintenance
2.6.20,[PATCH] ext4 balloc: say rb_entry not list_entry,misc->api,0,0,0,Maintenance
2.6.20,[PATCH] ext4 balloc: fix off-by-one against rsv_end,balloc,1,1,1,Bug
2.6.20,[PATCH] ext4 balloc: fix off-by-one against grp_goal,balloc,1,2,2,Bug
2.6.20,[PATCH] ext4 balloc: reset windowsz when full,balloc,1,1,0,Bug
2.6.20,[PATCH] ext4: fix reservation extension,balloc,1,8,4,Bug
2.6.20,[PATCH] retries in ext4_prepare_write() violate ordering requirements,inode,1,75,10,Bug
2.6.20,[PATCH] ext4_ext_split(): remove dead code,misc->code,0,0,0,Maintenance
2.6.20,[PATCH] ext4: uninline large functions,misc->api,0,0,0,Maintenance
2.6.20,[PATCH] handle ext4 directory corruption better,dir,2,12,0,Reliability
2.6.20,[PATCH] Remove superfluous lock_super() in extN xattr code,xattr,3,3,12,Performance
2.6.20,[PATCH] ext4: fsid for statvfs,super,1,5,0,Bug
2.6.21,"[PATCH] revert ""retries in ext4_prepare_write() violate ordering requirements""",inode,1,10,75,Bug
2.6.21,[PATCH] ext[34]: EA block reference count racing fix,xattr,1,25,16,Bug
2.6.21,[PATCH] ext[234]: update documentation,misc->doc,0,0,0,Maintenance
2.6.21,[PATCH] Mark struct super_operations const,misc->api,0,0,0,Maintenance
2.6.21,[PATCH] mark struct inode_operations const 1,misc->api,0,0,0,Maintenance
2.6.21,[PATCH] jbd layer function called instead of fs specific one,misc->api,0,0,0,Maintenance
2.6.21,[PATCH] remove ext[34]_inc_count and _dec_count,misc->api,0,0,0,Maintenance
2.6.21,[PATCH] return ENOENT from ext3_link when racing with unlink,dir,1,6,0,Reliability
2.6.21,[PATCH] fix umask when noACL kernel meets extN tuned for ACLs,super,3,12,0,Bug
2.6.21,[PATCH] ext4: refuse ro to rw remount of fs with orphan inodes,super,1,16,0,Bug
2.6.22,ext4: lost brelse in ext4_read_inode(),inode,1,3,1,Bug
2.6.22,When ext4_ext_insert_extent() fails to insert new blocks,extent,1,5,1,Bug
2.6.22,ext4: Extent overlap bugfix,extent,2,59,2,Bug
2.6.22,Remove unnecessary exported symbols.,misc->code,0,0,0,Maintenance
2.6.22,EXT4: Fix whitespace,misc->code,0,0,0,Maintenance
2.6.22,ext3: dirindex error pointer issues,dir,1,15,11,Bug
2.6.22,ext2/3/4: fix file date underflow on ext2 3 filesystems on 64 bit systems,inode,1,3,3,Bug
2.6.23,ext34: ensure do_split leaves enough free space in both blocks,dir,1,35,4,Bug
2.6.23,dir_index: error out instead of BUG on corrupt dx dirs,dir,2,60,8,Reliability
2.6.23,quota: fix infinite loop,super,3,31,4,Bug
2.6.23,"""ext4_ext_put_in_cache"" uses __u32 to receive physical block number",extent,1,1,1,Bug
2.6.23,fix inode_table test in ext234_check_descriptors,super,1,1,1,Bug
2.6.23,fix ext4/JBD2 build warnings,misc->compile,2,4,4,Maintenance
2.6.23,readahead: convert ext3/ext4 invocations,dir,1,8,6,Performance
2.6.23,ext4: extent macros cleanup,misc->code,1,9,4,Maintenance
2.6.23,"Fix compilation with EXT_DEBUG, also fix leXX_to_cpu conversions.",misc->compile,1,10,8,Maintenance
2.6.23,ext4: remove extra IS_RDONLY() check b,misc->code,0,0,0,Maintenance
2.6.23,ext4: Use is_power_of_2(),misc->api,1,2,3,Maintenance
2.6.23,Use zero_user_page() in ext4 where possible,misc->api,1,2,9,Maintenance
2.6.23,ext4: Remove 65000 subdirectory limit,dir,2,49,15,Feature
2.6.23,"ext4: Expand extra_inodes space per the s_{want,min}_extra_isize fields","inode,xattr",4,347,8,Feature
2.6.23,ext4: Add nanosecond timestamps,"inode,ioctl,dir,super,xattr",9,147,25,Feature
2.6.23,ext4: Set the journal JBD2_FEATURE_INCOMPAT_64BIT on large devices,super,1,7,0,Bug
2.6.23,ext4: Make extents code sanely handle on-disk corruption,extent,1,86,58,Reliability
2.6.23,ext4: copy i_flags to inode flags on write,"inode,ioctl",3,22,0,Bug
2.6.23,ext4: Enable extents by default,misc->code,1,11,1,Maintenance
2.6.23,Change on-disk format to support 2^15 uninitialized extents,extent,2,52,7,Feature
2.6.23,write support for preallocated blocks,extent,2,225,32,Feature
2.6.23,fallocate support in ext4,extent,4,232,41,Feature
2.6.23,ext4: statfs speed up,super,2,17,10,Performance
2.6.23,ext4: fix error handling in ext4_create_journal,misc->code,1,5,2,Maintenance
2.6.23,mistaken ext4_inode_bitmap for ext4_block_bitmap,misc->code,1,1,1,Maintenance
2.6.23,ext4: fix deadlock in ext4_remount() and orphan list handling,super,1,8,0,Bug
2.6.23,ext3/ext4: orphan list corruption due bad inode,dir,1,10,0,Bug
2.6.23,ext3/ext4: orphan list check on destroy_inode,super,1,8,0,Reliability
2.6.24,"ext3, ext4: avoid divide by zero",super,1,1,1,Bug
2.6.24,Forbid user to change file flags on quota files,ioctl,5,21,0,Reliability
2.6.24,"Revert ""ext2/ext3/ext4: add block bitmap validation""",balloc,1,0,41,Performance
2.6.24,ext4: new export ops,misc->api,1,20,15,Maintenance
2.6.24,ext4: lighten up resize transaction requirements,resize,1,43,3,Reliability
2.6.24,ext4: fix setup_new_group_blocks locking,resize,1,3,3,Bug
2.6.24,ext4: sparse fixes,"file,inode,xattr",6,24,18,Bug
2.6.24,ext4: Convert ext4_extent_idx.ei_leaf to ext4_extent_idx.ei_leaf_lo,misc->api,2,3,3,Maintenance
2.6.24,ext4: Convert ext4_extent.ee_start to ext4_extent.ee_start_lo,misc->api,2,4,6,Maintenance
2.6.24,ext4: Convert s_r_blocks_count and s_free_blocks_count,misc->api,2,7,7,Maintenance
2.6.24,ext4: Convert s_blocks_count to s_blocks_count_lo,misc->api,2,5,5,Maintenance
2.6.24,ext4: Convert bg_inode_bitmap and bg_inode_table,misc->api,3,9,9,Maintenance
2.6.24,ext4: Convert bg_block_bitmap to bg_block_bitmap_lo,misc->api,2,4,4,Maintenance
2.6.24,ext4: FLEX_BG Kernel support v2.,super,2,10,3,Feature
2.6.24,ext4: Fix sparse warnings,misc->code,2,11,9,Maintenance
2.6.24,Ext4: Uninitialized Block Groups,"balloc,inode,resize,super",7,335,35,Feature
2.6.24,ext4: remove #ifdef CONFIG_EXT4_INDEX,misc->code,3,2,39,Maintenance
2.6.24,"ext4: Remove (partial, never completed) fragment support",misc->code,6,6,67,Maintenance
2.6.24,JBD2/Ext4: Convert kmalloc to kzalloc in jbd2/ext4,misc->api,3,3,6,Maintenance
2.6.24,Fix f_version type: should be u64 instead of unsigned long,dir,6,11,11,Bug
2.6.24,ext2/4: use is_power_of_2(),misc->api,1,1,1,Maintenance
2.6.24,ext2/ext3/ext4: add block bitmap validation,balloc,1,47,15,Reliability
2.6.24,remove unused bh in calls to ext234_get_group_desc,misc->code,4,23,37,Maintenance
2.6.24,ext4: show all mount options,super,2,73,0,Feature
2.6.24,convert ill defined log2() to ilog2(),misc->api,4,9,18,Maintenance
2.6.24,fs: mark nibblemap const,misc->api,5,5,5,Maintenance
2.6.24,lib: percpu_counter_init error handling,super,1,15,6,Bug
2.6.24,lib: percpu_counter_sum_positive,misc->api,5,9,9,Maintenance
2.6.24,lib: percpu_counter_sub,super,4,8,3,Bug
2.6.24,lib: percpu_counter_add,misc->api,8,17,17,Maintenance
2.6.24,ext4: convert to new aops,misc->code,1,120,54,Maintenance
2.6.25,ext4: add missing ext4_journal_stop(),resize,1,1,0,Bug
2.6.25,ext4: ext4_find_next_zero_bit needs an aligned address on some arch,balloc,1,40,22,Bug
2.6.25,ext4: set EXT4_EXTENTS_FL only for directory and regular files,inode,2,15,8,Bug
2.6.25,ext4: Don't mark filesystem error if fallocate fails,extent,1,6,5,Reliability
2.6.25,ext4: Fix BUG when writing to an unitialized extent,inode,2,57,3,Bug
2.6.25,ext4: Don't use ext4_dec_count() if not needed,misc->code,1,3,3,Maintenance
2.6.25,ext4: modify block allocation algorithm for the last group,"extent,inode",2,14,2,Performance
2.6.25,ext4: Don't claim block from group which has corrupt bitmap,balloc,1,15,1,Reliability
2.6.25,ext4: Get journal write access before modifying the extent tree,extent,1,8,3,Bug
2.6.25,ext4: Fix memory and buffer head leak in callers to ext4_ext_find_extent(),extent,3,9,3,Bug
2.6.25,ext4: Don't leave behind a half-created inode if ext4_mkdir() fails,dir,1,4,7,Bug
2.6.25,ext4: Fix kernel BUG at fs/ext4/mballoc.c:910!,balloc,1,1,1,Bug
2.6.25,ext4: Fix locking hierarchy violation in ext4_fallocate(),extent,1,3,7,Bug
2.6.25,Remove incorrect BKL comments in ext4,misc->code,2,1,2,Maintenance
2.6.25,"ext4: Add new ""development flag"" to the ext4 filesystem",misc->code,0,0,0,Maintenance
2.6.25,ext4: Don't panic in case of corrupt bitmap,balloc,1,21,14,Reliability
2.6.25,ext4: allocate struct ext4_allocation_context from a kmem cache,balloc,1,82,45,Performance
2.6.25,ext4: Fix Direct I/O locking,inode,1,53,54,Bug
2.6.25,ext4: Fix circular locking dependency with migrate and rm.,extent,1,74,43,Bug
2.6.25,allow in-inode EAs on ext4 root inode,inode,1,1,7,Bug
2.6.25,ext4: Fix null bh pointer dereference in mballoc,balloc,1,1,1,Bug
2.6.25,ext4: Don't set EXTENTS_FL flag for fast symlinks,"extent,dir",2,7,0,Bug
2.6.25,iget: stop EXT4 from using iget() and read_inode(),"inode,dir,resize,super",6,87,70,Reliability
2.6.25,ext[234]: cleanup ext[234]_bg_num_gdb(),misc->api,0,0,0,Maintenance
2.6.25,ext[234]: remove unused argument for ext[234]_find_goal(),misc->api,0,0,0,Maintenance
2.6.25,ext[234]: use ext[234]_get_group_desc(),misc->code,1,5,18,Maintenance
2.6.25,ext[234]: fix comment for nonexistent variable,misc->code,0,0,0,Maintenance
2.6.25,ext4: Use the ext4_ext_actual_len() helper function,extent,1,13,11,Bug
2.6.25,ext4: fix uniniatilized extent splitting error,extent,1,3,2,Bug
2.6.25,ext4: Check for return value from sb_set_blocksize,super,1,5,10,Bug
2.6.25,ext4: Add stripe= option to /proc/mounts,misc->code,1,2,0,Maintenance
2.6.25,ext4: Enable the multiblock allocator by default,misc->code,1,7,0,Maintenance
2.6.25,ext4: Add multi block allocator for ext4,balloc,13,4900,38,Feature
2.6.25,ext4: Add new functions for searching extent tree,extent,2,146,0,Feature
2.6.25,ext4: Add ext4_find_next_bit(),misc->code,9,62,0,Maintenance
