Version,Description,Component,Files_Modified,Lines_Added,Lines_Removed,Patch_Type
2.6.1,[PATCH] Fix reiserfs handling of `silent' option.,super,1,32,27,Bug
2.6.1,[PATCH] reiserfs commit_max_age mount option,"journal,super",4,32,7,Feature
2.6.1,[PATCH] reiserfs_rename ctime update,dir,1,17,7,Bug
2.6.2,[PATCH] reiserfs v3 should throttle writers,file,2,3,0,Reliability
2.6.2,[PATCH] reiserfs: cleanup_bitmap_list() check for NULL argument.,journal,1,3,0,Bug
2.6.3,[PATCH] gcc-3.5: reiserfs fixes,misc->compile,0,0,0,Maintenance
2.6.3,[PATCH] try reiserfs before other filesystems,misc->code,0,0,0,Maintenance
2.6.3,[PATCH] Suppress reiserfs page allocation wanring,misc->code,0,0,0,Maintenance
2.6.5,[PATCH] reiserfs: fix null pointer deref,inode,1,1,1,Bug
2.6.5,[PATCH] reiserfs: search_by_key fix,tree,1,10,6,Bug
2.6.5,[PATCH] reiserfs: fix transaction sizes,"inode,tree",2,2,2,Performance
2.6.5,[PATCH] reiserfs: atomicity fix,file,1,8,4,Bug
2.6.5,[PATCH] resierfs: AIO support,misc->code,0,0,0,Maintenance
2.6.5,[PATCH] reiserfs: use kernel min/max,misc->api,0,0,0,Maintenance
2.6.6,[PATCH] reiserfs: support for nested transactions,jounral,4,86,9,Feature
2.6.6,[PATCH] reiserfs: cleanups,misc->code,0,0,0,Maintenance
2.6.6,[PATCH] reiserfs: logging rework,"tree,inode,journal,super",11,972,851,Performance
2.6.6,[PATCH] reiserfs: data=ordered support,"file,inode,ioctl,journal,super",8,805,231,Feature
2.6.6,[PATCH] reiserfs: locking fix,inode,1,4,1,Bug
2.6.6,[PATCH] reiserfs: preallocation support,misc->code,0,0,0,Maintenance
2.6.6,[PATCH] reiserfs: tail repacking fix,tree,1,3,2,Bug
2.6.6,[PATCH] reiserfs: fix race with writepage,inode,1,37,42,Bug
2.6.6,[PATCH] reiserfs: sparse file handling fix,misc->code,0,0,0,Maintenance
2.6.6,[PATCH] reiserfs: laptop-mode support,"journal,super",2,5,3,Feature
2.6.6,[PATCH] reiserfs: truncate leak fix,tree,1,1,3,Bug
2.6.6,[PATCH] reiserfs: scheduling latency improvements,journal,1,4,12,Performance
2.6.6,[PATCH] reiserfs: fix dirty-buffer warnings,journal,1,1,1,Bug
2.6.6,[PATCH] reiserfs_kfree warning fix,misc->compile,0,0,0,Maintenance
2.6.6,[PATCH] reiserfs writepage race with data=ordered,inode,1,1,1,Bug
2.6.6,"[PATCH] Add ""commit=0"" to reiserfs","journal,super",3,13,6,Feature
2.6.6,[PATCH] reiserfs: fsync() speedup,journal,1,17,7,Performance
2.6.6,[PATCH] reiserfs: remove final sleep_on,misc->code,0,0,0,Maintenance
2.6.6,[PATCH] Fix default value for commit interval for older reiserfs filesystems.,journal,1,10,8,Bug
2.6.6,[PATCH] reiserfs use-after-free fix,journal,1,1,0,Bug
2.6.6,[PATCH] lockfs: reiserfs fix,super,1,1,1,Bug
2.6.6,[PATCH] reiserfs: ignore prepared and locked buffers,tree,1,2,1,Bug
2.6.7,[PATCH] Reiserfs commit default fix,misc->code,0,0,0,Maintenance
2.6.7,[PATCH] reiserfs: acl device node initialization,dir,1,1,1,Bug
2.6.7,[PATCH] reiserfs: xattr support,"dir,file,inode,super,xattr",13,1735,53,Feature
2.6.7,[PATCH] reiserfs: ACL support,"file,inode,dir,super,xattr",13,836,15,Feature
2.6.7,[PATCH] reiserfs: support trusted xattrs,xattr,4,84,1,Feature
2.6.7,[PATCH] reiserfs: selinux support,xattr,5,91,0,Feature
2.6.7,[PATCH] reiserfs: xattr locking fixes,"inode,xattr",5,66,8,Bug
2.6.7,[PATCH] reiserfs: quota support,"balloc,file,tree,inode,dir,super",10,364,121,Feature
2.6.7,[PATCH] reiserfs: xattr permission fix,xattr,1,2,1,Bug
2.6.7,[PATCH] reiserfs: add device info to diagnostic messages,"balloc,dir,tree,file,inode,journal,super,xattr",18,446,379,Reliability
2.6.7,[PATCH] Fix reiserfs oom crash,journal,1,4,2,Bug
2.6.7,[PATCH] Fix reiserfs inode size update race,file,1,12,4,Bug
2.6.7,[PATCH] Fix for lockup in reiserfs acl/xattrs,xattr,1,6,4,Bug
2.6.7,[PATCH] sparse: reiserfs annotation,"file,ioctl",2,6,6,Reliability
2.6.8,[PATCH] reiserfs: block allocator optimizations,block,5,263,27,Feature
2.6.8,"[PATCH] reiserfs: block allocator should not inherit ""packing locality 1""",balloc,1,6,1,Bug
2.6.8,[PATCH] reiserfs: remove debugging warning from block allocator,misc->code,0,0,0,Maintenance
2.6.8,[PATCH] reiserfs: btree readahead,tree,3,74,26,Performance
2.6.8,[PATCH] reiserfs data logging support,"file,inode,journal,tree",7,129,60,Feature
2.6.8,[PATCH] fix possible stack corruption during reiserfs_file_write,"bitmap,file",2,16,14,Bug
2.6.8,[PATCH] reiserfs_setattr retval fix,inode,1,1,1,Bug
2.6.8,[PATCH] sparse: NULL noise in fs/reiserfs,misc->code,0,0,0,Maintenance
2.6.8,[PATCH] missing (void) in reiserfs on big-endian boxen,misc->code,0,0,0,Maintenance
2.6.9,[PATCH] reiserfs v3 barrier support,"file,journal,super",5,113,15,Feature
2.6.9,[PATCH] reiserfs: xattr/acl fixes,xattr,2,16,3,Bug
2.6.9,[PATCH] Fix write() return values for reiserfs.,misc->code,0,0,0,Maintenance
2.6.9,[PATCH] Fix for default ACL handling on ReiserFS,xattr,1,8,2,Bug
2.6.9,[PATCH] fix for fsync ignoring writing errors,inode,1,3,2,Bug
2.6.10,[PATCH] reiserfs: small filesystem fix,balloc,1,12,1,Bug
2.6.10,[PATCH] ReiserFS: Cleanup internal use of bh macros,misc->api,0,0,0,Maintenance
2.6.10,[PATCH] ReiserFS: Cleanup access of journal (cosmetic),misc->code,0,0,0,Maintenance
2.6.10,[PATCH] ReiserFS: Add I/O error handling to journal operations,"file,inode,journal,dir,tree,super",14,884,277,Bug
2.6.10,[PATCH] ReiserFS: Fix several missing reiserfs_write_unlock calls,dir,1,2,0,Bug
2.6.10,[PATCH] reiserfs: rename struct key,misc->api,0,0,0,Maintenance
2.6.10,[PATCH] reiserfs: support for REISERFS_UNSUPPORTED_OPT notation,super,2,9,2,Reliability
2.6.10,"[PATCH] reiserfs: allow user_xattr and acl options to be ignored, with warning",misc->code,0,0,0,Maintenance
2.6.10,[PATCH] m68k: Reiserfs: Add missing #include <linux/sched.h>,misc->code,0,0,0,Maintenance
2.6.10,[PATCH] reiserfs bug fix: add missing pair of lock_kernel()/unlock_kernel(),inode,1,2,0,Bug
2.6.11,[PATCH] Expose reiserfs_sync_fs(),misc->code,0,0,0,Maintenance
2.6.11,[PATCH] Fix reiserfs quota debug messages,misc->compile,0,0,0,Maintenance
2.6.11,[PATCH] Fix of quota deadlock on pagelock: reiserfs,"file,inode,dir,super",6,497,58,Bug
2.6.11,[PATCH] reiserfs vs-8115 test adjustment,misc->code,0,0,0,Maintenance
