Version,Description,Component,Files_Modified,Lines_Added,Lines_Removed,Patch_Type
2.6.1,"[XFS] Add the noikeep mount option, make ikeep the default for now.",vfs,1,7,2,Feature
2.6.1,"[XFS] Fix a possible bio-leak on I/O submission, in a case where no I/O was required.",file,1,2,7,Bug
2.6.1,[XFS] Update XFS documentation.,misc->doc,0,0,0,Maintenance
2.6.2,[XFS] Remove debug source file from kernel tree; useless without kdb and,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Rename pagebuf debug option (ie. pagebuf tracing) into a generic XFS tracing option for the other XFS trace code to use too (once fixed).,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Fix compiler warning after change to xfs_ioctl interface.,misc->compile,0,0,0,Maintenance
2.6.2,[XFS] Implement dm_get_bulkall,misc->code,0,0,0,Maintenance
2.6.2,"[XFS] Add some IO path tracing, move inval_cached_pages to a better home to help.",file,4,164,109,Reliability
2.6.2,"[XFS] Fix ktrace code - dont build unilaterally, and do earlier init for pagebuf use.",misc->code,0,0,0,Maintenance
2.6.2,[XFS] Fix log tracing code so it is independent of DEBUG like other traces.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Fix build fallout from reordering xfsidbg headers for tracing fixes.,misc->compile,0,0,0,Maintenance
2.6.2,[XFS] Rename the vnode tracing macro to be consistent with the other trace code,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Enable tracing in the quota code if requested,quota,3,33,24,Reliability
2.6.2,[XFS] Fix exports for tracing symbol access in idbg code.,misc->code,0,0,0,Maintenance
2.6.2,"[XFS] When tracing extended attribute calls, only access the buffer when it exists.",xattr,1,8,4,Bug
2.6.2,"[XFS] Fix build with tracing enabled, couple of portability macros, move externs into headers.",misc->code,0,0,0,Maintenance
2.6.2,[XFS] Enable the tracing options in XFS Makefiles.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Dont build objects which are not linked into the kernel ever.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Fix compiler warning due to mismatched types.,misc->compile,0,0,0,Maintenance
2.6.2,[XFS] Remove duplicate FILP_DELAY_FLAG macro,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Fix warnings when tracing enabled on 64 bit platforms,misc->compile,0,0,0,Maintenance
2.6.2,[XFS] Add a stack trace to _xfs_force_shutdown.,file,1,3,0,Reliability
2.6.2,[XFS] Fix test for large sector_t when finding max file offset,super,1,1,1,Bug
2.6.2,"[XFS] Fix an infinite writepage loop under a combination of low free space, and racing write/unlink calls to the same file.",file,1,5,6,Bug
2.6.2,[XFS] Fix error code sign on forced shutdown in iomap; sync iomap code up between 2.4 and 2.6 versions.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Enable pagebuf lock tracking with debug config option.,misc->code,0,0,0,Maintenance
2.6.2,"[XFS] Cleanup the page buffers loop in writepage (no goto, like 2.4 variant).",misc->code,0,0,0,Maintenance
2.6.2,[XFS] move the iomap data structures out of pagebuf,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Merge page_buf_locking routines in with the rest of page_buf.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Switch to using the BSD qsort implementation.,misc->code,0,0,0,Maintenance
2.6.2,"[XFS] Change pagebuf to use the same ktrace implementation as XFS, instead of reinventing that wheel.",misc->code,0,0,0,Maintenance
2.6.2,[XFS] Seperate the NFS reference cache code out from xfs_rw.c to simplify management of different kernel versions.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Trivial/whitespace changes to sync up different trees a bit.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Set proper device for realtime files in linvfs_get_block_core,file,1,3,0,Bug
2.6.2,[XFS] Remove assertion that we do not hold a lock - no lock ownership state available.,"quota,journal",3,0,25,Bug
2.6.2,[XFS] Fix sysctl handlers to expect ints,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Move the stack trace wrapper into a kernel-version-specific location.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Use iomap abstraction consistently.,misc->code,0,0,0,Maintenance
2.6.2,"[XFS] Abstract sendfile operation out, supporting multiple kernels more easily.",misc->code,0,0,0,Maintenance
2.6.2,"[XFS] Use xfs_statfs type to statfs operation, to support multiple kernels more easily.",misc->api,0,0,0,Maintenance
2.6.2,[XFS] Fix some incorrect debug code after buftarg changes.,journal,1,3,4,Bug
2.6.2,"[XFS] Make kmem shaking interface consistent between kernel versions.  No code change here, mainly symbol names.",misc->code,0,0,0,Maintenance
2.6.2,[XFS] Fix comment in xfs_rename.c,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Prevent log ktrace code from sleeping in an invalid context.,journal,1,5,2,Bug
2.6.2,"[XFS] Use vnode timespec modifiers for atime/mtime/ctime, keeps last code hunk in sync.",misc->api,0,0,0,Maintenance
2.6.2,[XFS] Update xfs_showargs to reflect all current mount options,misc->code,0,0,0,Maintenance
2.6.2,[XFS] No need to initialise struct xfs_trans field to null after a zalloc.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Remove some spurious double semi-colons.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Fix async pagebuf I/O tracing at the bottom of pagebuf_get.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Fix a small pagebuf memory leak and keep track of slab pages ourselves.,file,2,16,20,Bug
2.6.2,[XFS] Fix an XFS release_page case where unwritten extents may cause I/O incorrectly.,file,1,6,5,Bug
2.6.2,[XFS] Cleanup bdevname conditional code in xfs_buf headers.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Rework some extended attributes code to make it more easily extended.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Fix some inconsistent types,misc->api,0,0,0,Maintenance
2.6.2,[XFS] Fix one more fsid_t type.,misc->api,0,0,0,Maintenance
2.6.2,[XFS] Work around gcc 2.96 bug in _lsn_cmp.,misc->compile,0,0,0,Maintenance
2.6.2,[XFS] Trivial and whitespace changes to sync trees.  Remove no-longer-used headers.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Remove a no-longer-used pagebuf source file.,misc->code,0,0,0,Maintenance
2.6.2,"[XFS] In xfs_bulkstat, we need to do the readahead loop always.",inode,1,3,3,Performance
2.6.2,"[XFS] Fix for large allocation groups, so that extent",file,2,30,18,Bug
2.6.2,[PATCH] logic error in XFS,journal,1,1,1,Bug
2.6.2,[XFS] Christoph has signed over copyrights,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Fix a warning from some gcc variants after recent flags botch.,misc->compile,0,0,0,Maintenance
2.6.2,[XFS] Move bits around to better manage common code.  No functional change.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Small ktrace fixes,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Simplify pagebuf_rele / pagebuf_free,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Revert botched merge where KM_NOFS check was unintentionally dropped.,other,1,1,1,Bug
2.6.2,[XFS] Add the security extended attributes namespace.,xattr,5,71,15,Feature
2.6.2,[XFS] Don't fail pagebuf allocations,file,1,6,2,Reliability
2.6.2,[XFS] Stop using sleep_on,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Plug a pagebuf race that got bigger with the recent cleanup,file,2,34,37,Bug
2.6.2,[XFS] Remove no-longer-needed debug symbol exports.,misc->code,0,0,0,Maintenance
2.6.2,[XFS] Sync up some missing header updates from local XFS tree.,misc->code,0,0,0,Maintenance
2.6.3,[XFS] Fix buffer teardown on _pagebuf_lookup_pages failure,file,1,12,7,Bug
2.6.3,[XFS] Remove the lockable/not lockable buffer distinction.,misc->code,0,0,0,Maintenance
2.6.3,"[XFS] Use list_move for moving pagebufs between lists, not list_add/list_del",misc->api,0,0,0,Maintenance
2.6.3,[XFS] Remove PBF_MAPPABLE,misc->code,0,0,0,Maintenance
2.6.3,[XFS] plug a pagebuf leak,misc->code,0,0,0,Maintenance
2.6.3,[XFS] Avoid NULL returns from pagebuf_get,file,1,22,35,Reliability
2.6.3,"[XFS] Fix compile warning, ensure _pagebuf_lookup_pages return value is inited.",misc->compile,0,0,0,Maintenance
2.6.3,[XFS] Fix gcc 3.5 compilation for real,misc->compile,0,0,0,Maintenance
2.6.3,[XFS] Add back a missing pflags check in releasepage.,file,1,7,2,Bug
2.6.3,[XFS] Fix data loss when writing into unwritten extents while memory is being reclaimed.,file,1,10,18,Bug
2.6.3,"[XFS] Fix a trivial compiler warning, remove some no-longer-used macros.",misc->compile,0,0,0,Maintenance
2.6.3,[XFS] Make more xfs errors trappable with panic_mask,other,1,14,16,Reliability
2.6.3,"[XFS] Update XFS config entries - add security entry, update ACL entry.",misc->code,0,0,0,Maintenance
2.6.3,[XFS] make sure i_size_write is called under i_sem,"inode,vfs",2,9,4,Bug
2.6.4,[XFS] Use same string for identifying whether security namespace is enabled.,misc->code,0,0,0,Maintenance
2.6.4,[XFS] Add XFS_FS_GOINGDOWN interface to xfs.,"ioctl,resize",4,58,18,Feature
2.6.4,"[XFS] Add I/O path tracing code, useful in diagnosing that last unwritten extent problem.",file,4,155,19,Reliability
2.6.4,[XFS] use generic XFS stats and sysctl infrastructure in pagebuf,misc->api,0,0,0,Maintenance
2.6.4,[XFS] Use a naming convention here thats more consistent with everything else.,misc->api,0,0,0,Maintenance
2.6.4,[XFS] Remove a superflous i_size_write,misc->code,0,0,0,Maintenance
2.6.4,[XFS] Fix up daemon names,misc->code,0,0,0,Maintenance
2.6.4,"[XFS] Fix BUG in debug trace code, it was plain wrong for the unmapped page case.",file,1,3,2,Bug
