Version,Description,Component,Files_Modified,Lines_Added,Lines_Removed,Patch_Type
2.6.29,Btrfs: Clear space_info full when adding new devices,volume,1,6,0,Bug
2.6.29,Btrfs: Fix locking around adding new space_info,"balloc,volume",3,53,3,Bug
2.6.29,Btrfs: fix spinlock assertions on UP systems,misc->api,5,13,13,Maintenance
2.6.29,Btrfs: try committing transaction before returning ENOSPC,balloc,1,47,10,Bug
2.6.29,Btrfs: add better -ENOSPC handling,"balloc,file,inode,ioctl",6,271,76,Reliability
2.6.29,Btrfs: check file pointer in btrfs_sync_file,file,1,4,4,Bug
2.6.29,Btrfs: hold trans_mutex when using btrfs_record_root_in_trans,"balloc,journal->transaction,journal->log",3,6,0,Bug
2.6.29,Btrfs: make a lockdep class for the extent buffer locks,"tree,file,balloc,volume",7,99,32,Reliability
2.6.29,Btrfs: fs/btrfs/volumes.c: remove useless kzalloc,misc->code,1,0,4,Maintenance
2.6.29,Btrfs: remove unused code in split_state(),misc->code,1,0,2,Maintenance
2.6.29,Btrfs: remove btrfs_init_path,misc->code,4,2,13,Maintenance
2.6.29,Btrfs: balance_level checks !child after access,tree,1,1,1,Bug
2.6.29,Btrfs: Avoid using __GFP_HIGHMEM with slab allocator,inode,1,1,1,Reliability
2.6.29,Btrfs: don't clean old snapshots on sync(1),super,1,0,1,Performance
2.6.29,Btrfs: use larger metadata clusters in ssd mode,balloc,1,2,1,Performance
2.6.29,"Btrfs: process mount options on mount -o remount,",super,1,4,0,Bug
2.6.29,Btrfs: make sure all pending extent operations are complete,balloc,1,42,29,Reliability
2.6.29,Btrfs: don't use spin_is_contended,misc->compile,3,1,26,Maintenance
2.6.29,Btrfs: Make sure dir is non-null before doing S_ISGID checks,inode,1,1,1,Bug
2.6.29,Btrfs: Fix memory leak in cache_drop_leaf_ref,balloc,1,1,0,Bug
2.6.29,Btrfs: don't return congestion in write_cache_pages as often,extent,1,0,5,Performance
2.6.29,Btrfs: Only prep for btree deletion balances when nodes are mostly empty,tree,1,6,3,Performance
2.6.29,Btrfs: fix btrfs_unlock_up_safe to walk the entire path,tree,1,2,2,Bug
2.6.29,Btrfs: change btrfs_del_leaf to drop locks earlier,tree,1,9,2,Performance
2.6.29,Btrfs: Change btrfs_truncate_inode_items to stop when it hits the inode,inode,1,5,1,Performance
2.6.29,Btrfs: Don't try to compress pages past i_size,inode,1,14,0,Performance
2.6.29,Btrfs: join the transaction in __btrfs_setxattr,xattr,1,1,1,Performance
2.6.29,Btrfs: Handle SGID bit when creating inodes,inode,1,8,1,Bug
2.6.29,Btrfs: Make btrfs_drop_snapshot work in larger and more efficient chunks,balloc,4,265,45,Performance
2.6.29,Btrfs: Change btree locking to use explicit blocking points,"tree,file,balloc,extent,journal->log",11,470,39,Performance
2.6.29,Btrfs: hash_lock is no longer needed,"file,tree",3,1,11,Performance
2.6.29,Btrfs: disable leak debugging checks in extent_io.c,extent,1,8,8,Performance
2.6.29,Btrfs: sort references by byte number during btrfs_inc_ref,balloc,1,79,6,Performance
2.6.29,Btrfs: async threads should try harder to find work,"file,other",2,46,6,Performance
2.6.29,Btrfs: selinux support,xattr,3,53,4,Feature
2.6.29,Btrfs: make btrfs acls selectable,misc->code,1,13,0,Maintenance
2.6.29,Btrfs: Catch missed bios in the async bio submission thread,misc->code,2,18,3,Maintenance
2.6.29,Btrfs: fix readdir on 32 bit machines,inode,1,1,1,Bug
2.6.29,Btrfs: do less aggressive btree readahead,tree,1,5,16,Performance
2.6.29,Btrfs: fiemap support,extent,3,101,0,Feature
2.6.29,Btrfs: stop providing a bmap operation to avoid swapfile corruptions,inode,1,12,6,Bug
2.6.29,Btrfs: fix tree logs parallel sync,"file,balloc,file,journal->log",6,248,210,Bug
