Version,Description,Component,Files_Modified,Lines_Added,Lines_Removed,Patch_Type
2.6.1,[PATCH] JFS fix for NFS on little-endian systems,dir,1,8,4,Bug
2.6.1,[PATCH] don't clear i_sb,inode,1,0,2,Bug
2.6.2,JFS: Avoid segfault when dirty inodes are written on readonly mount,journal,1,4,0,Bug
2.6.2,JFS: Fix broken return code checking in ACL code,xattr,1,3,2,Bug
2.6.2,[JFS] allow resize option with no parameter,super,1,13,10,Bug
2.6.2,JFS: Creating large xattr lists may cause BUG,xattr,1,1,1,Bug
2.6.3,JFS: rename should update mtime on source and target directories,dir,1,2,2,Bug
2.6.3,JFS: Threads should exit with complete_and_exit,journal,2,3,6,Bug
2.6.4,JFS: get_UCSname does not need nls_tab argument,misc->api,0,0,0,Maintenance
2.6.4,JFS: Don't do filename translation by default,misc->code,0,0,0,Maintenance
2.6.4,JFS: Error path accessed uninitialized variables,inode,1,1,3,Bug
2.6.4,JFS: Support sharing of journal by multiple volumes,"journal,super",7,317,211,Feature
2.6.4,JFS: setting xattr should update ctime,xattr,1,1,0,Bug
2.6.4,JFS: warn users of inaccessible file names,other,1,18,2,Reliability
2.6.4,JFS: Avoid incrementing i_count on file create,"inode,journal,dir",5,26,26,Bug
2.6.4,JFS: Add lots of missing statics and remove dead code,misc->code,0,0,0,Maintenance
2.6.5,"JFS: zero new log pages, etc.","file,journal,super",3,6,2,Reliability
2.6.5,JFS: Prevent hang in __lock_metapage,"inode,tree,journal,balloc",5,147,109,Bug
2.6.5,JFS: don't use global lock in lmLogSync when local lock is sufficient,journal,1,6,2,Performance
2.6.5,JFS: initialize log->bp before calling lmNextPage,journal,1,3,4,Bug
2.6.6,JFS: Fix race in jfs_sync,journal,1,12,5,Bug
2.6.6,JFS: Fix non-ascii file name problem,other,1,2,3,Bug
2.6.6,JFS: [CHECKER] Fix a possible null-pointer dereference,tree->dir,1,6,1,Bug
2.6.6,JFS: [CHECKER] Memory leak in jfs_link,dir,1,5,2,Bug
2.6.4,JFS: [CHECKER] get rid of txAbortCommit,misc->code,0,0,0,Maintenance
2.6.7,JFS: Avoid race invalidating metadata page,file,2,68,40,Bug
2.6.7,JFS: reduce stack usage,misc->code,0,0,0,Maintenance
2.6.7,JFS: [CHECKER] More robust error recovery in add_index,tree->dir,1,16,12,Bug
2.6.7,JFS: module unload was not removing /proc/fs/jfs/,misc->code,0,0,0,Maintenance
