Version,Description,Component,Files_Modified,Lines_Added,Lines_Removed,Patch_Type
2.6.1,[PATCH] ext3: bd_claim for journal device,super,1,8,0,Reliability
2.6.1,[PATCH] Fix ext3 space accounting bug on ENOSPC,balloc,1,1,1,Bug
2.6.2,[PATCH] ext3: s_next_generation fixes,"inode,super",3,8,2,Bug
2.6.2,[PATCH] ext3: fix determination of inode journaling mode,other,1,14,3,Bug
2.6.2,[PATCH] ext3: update a_ops when running `chattr +j',xattr,1,1,0,Bug
2.6.3,[PATCH] ext2/3: incorrect increment of i_blocks when keeping the same xattr block,xattr,1,17,17,Bug
2.6.4,[PATCH] ext3: fix scheduling-in-spinlock bug,balloc,1,4,3,Bug
2.6.4,[PATCH] d_alloc_root() fixes: ext3,super,1,12,10,Bug
2.6.4,[PATCH] ext2/ext3 -ENOSPC bug,inode,1,2,2,Bug
2.6.5,[PATCH] Remove arbitrary #acl entries limits on ext[23] when reading,xattr,1,12,10,Bug
2.6.5,[PATCH] ext2&3: use the right i_flags in find_group_orlov(),inode,1,1,1,Bug
2.6.6,[PATCH] ext3 fsync() and fdatasync() speedup,file,4,65,18,Performance
2.6.6,"[PATCH] Add commit=0 to ext3, meaning ""set commit to default""",super,3,10,1,Feature
2.6.6,[PATCH] ext3fs sb= mount option fix,super,1,4,1,Bug
2.6.6,[PATCH] Fix ext3 add_nondir d_instantiate(),dir,1,3,5,Bug
2.6.6,[PATCH] ext3: journalled quotas,"inode,dir,super",12,768,261,Feature
2.6.6,[PATCH] Minor fixes for ext3 journalled quotas,super,1,10,2,Bug
2.6.7,[PATCH] Fix deadlock in journalled quota,super,3,44,2,Bug
2.6.7,[PATCH] Fix ext3 bogus ENOSPC,inode,1,15,2,Bug
2.6.7,[PATCH] ext3 error handling fixes,dir,1,22,13,Bug
2.6.7,[PATCH] use-before-uninitialized value in ext3(2)_find_ goal,inode,1,1,0,Performance
2.6.7,[PATCH] ext3: remove duplicated ext3_std_error() call,misc->code,0,0,0,Maintenance
2.6.7,[PATCH] fix possible NULL pointer in fs/ext3/super.c.,super,1,1,0,Bug
2.6.7,[PATCH] ext3_orphan_del may double-decrement bh->b_count,dir,1,0,2,Bug
2.6.7,[PATCH] ext3: htree rename fix,dir,1,9,5,Bug
2.6.7,[PATCH] ext3: journal_flush() needs journal_lock_updates(),super,1,5,1,Bug
2.6.8,[PATCH] Ext3: Retry allocation after transaction commit (v2),"xattr,balloc,inode,dir",8,107,27,Bug
2.6.8,[PATCH] ext3: htree readdir fix,dir,1,2,0,Bug
2.6.8,[PATCH] ext3: direct-io transaction extending fix,inode,1,22,6,Bug
2.6.9,[PATCH] ext3 barrier support,super,4,55,9,Feature
2.6.9,[PATCH] vprintk for ext3 errors,misc->code,0,0,0,Maintenance
2.6.9,[PATCH] ext3 documentation,misc->doc,0,0,0,Maintenance
2.6.9,[PATCH] ext3 dreference of sb preceeds check.,inode,1,2,1,Bug
2.6.9,[PATCH] fix for fsync ignoring writing errors,inode,1,5,5,Bug
2.6.9,[PATCH] ext3 endianness annotations and bugfixes,"balloc,inode,dir,super,xattr",10,145,145,Reliability
2.6.9,[PATCH] ext3: journalled data fsync fix,file,1,0,4,Bug
2.6.9,[PATCH] ext3 direct io assert fix,inode,1,6,0,Bug
2.6.10,[PATCH] unreachable code in ext3_direct_IO(),misc->code,0,0,0,Maintenance
2.6.10,[PATCH] xattr consolidation v3 - ext3,misc->code,0,0,0,Maintenance
2.6.10,[PATCH] ext3 directio block leak fix,inode,1,1,1,Bug
2.6.10,[PATCH] ext3 block reservation patch set -- ext3 preallocation cleanup,misc->code,0,0,0,Maintenance
2.6.10,[PATCH] ext3 block reservations,"balloc,file,inode,ioctl,super",9,835,102,Feature
2.6.10,[PATCH] ext3 reservation: default to on,misc->code,0,0,0,Maintenance
2.6.10,[PATCH] ext3: online resizing,"balloc,inode,ioctl,resize,super",10,1153,42,Feature
2.6.10,[PATCH] ext3_bread() cleanup,misc->code,0,0,0,Maintenance
